4,-1,-1,-1,-1,4,10,4,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,4,4,10,4
4,-1,29,-1,-1,11,4,4,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,10,4,4,4
4,-1,-1,-1,-1,4,4,11,-1,-1,-1,-1,-1,-1,53,55,37,37,-1,-1,-1,38,4,4,4,4
10,-1,-1,-1,-1,10,4,4,-1,-1,-1,-1,53,55,0,1,1,2,-1,-1,-1,38,4,11,4,11
11,-1,-1,-1,53,4,4,5,-1,-1,-1,-1,0,1,4,4,4,5,-1,-1,-1,6,4,4,4,4
4,-1,-1,-1,0,11,4,67,-1,-1,-1,-1,4,11,4,4,5,66,-1,-1,-1,38,4,4,10,4
4,-1,-1,-1,3,4,5,-1,-1,-1,53,55,10,4,4,5,67,-1,-1,-1,-1,-1,11,4,4,4
4,-1,-1,-1,67,66,67,-1,-1,53,0,1,4,4,10,67,-1,-1,-1,-1,-1,-1,4,10,4,10
10,-1,-1,-1,-1,-1,-1,-1,-1,0,4,4,4,4,5,-1,-1,-1,-1,-1,-1,53,10,4,4,4
4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,11,4,4,66,-1,-1,-1,-1,-1,-1,6,4,4,4,4
11,-1,-1,-1,-1,-1,-1,-1,-1,10,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4
4,-1,-1,-1,-1,-1,-1,53,54,4,4,4,4,11,-1,-1,-1,-1,-1,-1,-1,-1,11,4,11,4
4,-1,-1,-1,-1,37,37,0,1,4,4,10,4,4,-1,-1,-1,-1,-1,-1,37,37,4,4,4,4
4,37,37,37,37,0,1,4,10,4,11,4,4,4,34,-1,37,37,37,37,0,1,4,10,4,4
11,1,1,1,1,10,4,4,4,4,4,4,10,4,33,55,0,1,1,1,4,10,4,4,4,4
4,10,4,11,11,4,4,11,4,10,4,4,4,4,1,1,4,10,4,11,4,4,11,4,4,10
