-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,42,43,41,42,43,41,42,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,45,46,44,45,46,44,45,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,48,49,47,48,49,47,48,49,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,40,39,50,40,39,50,40,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,38,38,-1,-1,-1,-1,50,30,-1,50,-1,30,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,50,52,51,50,52,51,50,52,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,41,42,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1,-1,38,38,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,44,45,46,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,4,4,4,10,4,4,4,4,4,4,4,11,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,38,-1,-1,-1,-1,-1,-1,-1
-1,47,48,49,-1,38,38,-1,-1,-1,-1,6,1,7,-1,-1,4,10,4,4,4,4,4,10,4,4,4,4,4,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,38,-1,-1,-1,-1,-1,-1,-1
-1,39,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,11,4,4,4,4,4,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,38,-1,-1,-1,-1,-1,-1,-1
-1,-1,50,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,11,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1
-1,51,50,52,53,56,55,26,-1,37,37,37,37,37,37,37,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-1,27,-1,53,57,59,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,57,33,55
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,4,4,4,10,4,4,4,4,4,4,11,4,13,13,13,13,13,1,1,1,2,-1,-1,-1,-1,-1,-1,0,1,1,1,1
4,10,4,4,4,4,4,10,4,4,4,11,4,4,4,4,11,4,4,4,4,4,11,4,4,4,4,10,4,4,16,16,16,22,16,4,11,4,4,24,24,24,24,24,24,4,4,4,11,4
4,4,4,4,11,4,4,4,11,4,4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,16,16,16,16,4,4,4,10,25,25,25,25,25,25,4,10,4,4,4
